agent_no,node_name,node_time
0,W6-A,2520
0,W6-2,2540
0,W6-2,2540
0,W6-2,3020
0,W6-2,3020
0,W6-B,3060
1,W6-A,2700
1,W6-1,2721
1,W6-1,2721
1,W6-1,3201
1,W6-1,3201
1,W6-B,3240
2,W6-B,120
2,W6-5,141
2,W6-5,141
2,W6-5,621
2,W6-5,621
2,W6-A,660
3,W6-A,3480
3,W6-2,3500
3,W6-2,3500
3,W6-2,3980
3,W6-2,3980
3,W6-B,4020
4,W6-A,3840
4,W6-1,3861
4,W6-1,3861
4,W6-1,4341
4,W6-1,4341
4,W6-B,4380
5,W6-A,4080
5,W6-2,4105
5,W6-2,4105
5,W6-2,4585
5,W6-2,4585
5,W6-B,4620
0,W8-A,0
0,W8-II,12
0,W8-II,12
0,W8-II,492
0,W8-II,492
0,W8-B,540
1,W8-A,180
1,W8-1,193
1,W8-1,193
1,W8-1,673
1,W8-1,673
1,W8-B,720
2,W8-B,2640
2,W8-5,2653
2,W8-5,2653
2,W8-5,3133
2,W8-5,3133
2,W8-A,3180
3,W8-A,960
3,W8-II,972
3,W8-II,972
3,W8-II,1452
3,W8-II,1452
3,W8-B,1500
4,W8-A,1320
4,W8-1,1333
4,W8-1,1333
4,W8-1,1813
4,W8-1,1813
4,W8-B,1860
0,W7-A,1020
0,W7-1,1043
0,W7-1,1043
0,W7-1,1523
0,W7-1,1523
0,W7-B,1560
1,W7-A,1200
1,W7-4,1224
1,W7-4,1224
1,W7-4,1704
1,W7-4,1704
1,W7-B,1740
3,W7-A,1980
3,W7-1,2003
3,W7-1,2003
3,W7-1,2483
3,W7-1,2483
3,W7-B,2520
4,W7-A,2340
4,W7-4,2364
4,W7-4,2364
4,W7-4,2844
4,W7-4,2844
4,W7-B,2880
5,W7-A,2580
5,W7-1,2608
5,W7-1,2608
5,W7-1,3088
5,W7-1,3088
5,W7-B,3120
