agent_no,node_name,node_time
0,W6-A,2520
0,W6-2,2540
0,W6-2,2540
0,W6-2,3020
0,W6-2,3020
0,W6-B,3060
1,W6-A,3360
1,W6-2,3380
1,W6-2,3380
1,W6-2,3860
1,W6-2,3860
1,W6-B,3900
2,W6-B,0
2,W6-5,21
2,W6-5,21
2,W6-5,501
2,W6-5,501
2,W6-A,540
3,W6-A,3720
3,W6-1,3741
3,W6-1,3741
3,W6-1,4221
3,W6-1,4221
3,W6-B,4260
4,W6-A,2700
4,W6-1,2721
4,W6-1,2721
4,W6-1,3201
4,W6-1,3201
4,W6-B,3240
0,W8-A,0
0,W8-II,12
0,W8-II,12
0,W8-II,492
0,W8-II,492
0,W8-B,540
1,W8-A,840
1,W8-II,852
1,W8-II,852
1,W8-II,1332
1,W8-II,1332
1,W8-B,1380
2,W8-B,2520
2,W8-5,2533
2,W8-5,2533
2,W8-5,3013
2,W8-5,3013
2,W8-A,3060
3,W8-A,1200
3,W8-1,1213
3,W8-1,1213
3,W8-1,1693
3,W8-1,1693
3,W8-B,1740
4,W8-A,180
4,W8-1,193
4,W8-1,193
4,W8-1,673
4,W8-1,673
4,W8-B,720
0,W7-A,1020
0,W7-1,1043
0,W7-1,1043
0,W7-1,1523
0,W7-1,1523
0,W7-B,1560
1,W7-A,1860
1,W7-1,1883
1,W7-1,1883
1,W7-1,2363
1,W7-1,2363
1,W7-B,2400
3,W7-A,2220
3,W7-4,2244
3,W7-4,2244
3,W7-4,2724
3,W7-4,2724
3,W7-B,2760
4,W7-A,1200
4,W7-4,1224
4,W7-4,1224
4,W7-4,1704
4,W7-4,1704
4,W7-B,1740
