name,node_id,zone_id,ctrl_type,x_coord,y_coord,station_id,station_sequence
W3-A,1640,0,,26,5,3,
W3-A,1641,1,,26,4,3,
,1644,2,,23,5,3,
,1646,3,,21,4,3,
,1649,4,,19,4,3,
,1652,5,,15,1,3,
W3-6,1653,6,,13,1,3,
W3-7,1654,7,,13,0,3,
,1655,8,,16,4,3,
W3-III,1656,9,,13,4,3,
,1658,10,,14,3,3,
W3-4,1659,11,,13,3,3,
W3-5,1660,12,,13,2,3,
W3-1,1661,13,,13,6,3,
W3-II,1662,14,,13,5,3,
W3-1,1663,15,,11,6,3,
W3-II,1664,16,,11,5,3,
W3-III,1665,17,,11,4,3,
W3-4,1666,18,,11,3,3,
W3-5,1667,19,,11,2,3,
W3-6,1668,20,,11,1,3,
W3-7,1669,21,,11,0,3,
,1670,22,,10,1,3,
,1672,23,,8,2,3,
,1674,24,,9,4,3,
,1676,25,,10,5,3,
,1678,26,,6,4,3,
,1680,27,,4,4,3,
,1682,28,,2,5,3,
W3-B,1685,29,,0,5,3,
W3-B,1686,30,,0,4,3,
,16602,31,,15,5,3,
