road_link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,agent_type_code,geometry,
-1898976800,,1767,1753,,0,1,0.20000,1,10.0,1.0,"","LINESTRING (15.000000 3.000000 ,23.000000 3.000000 )"
-1898976800,,1770,1767,,0,1,0.04000,1,10.0,1.0,"","LINESTRING (12.000000 3.000000 ,15.000000 3.000000 )"
-1898976800,,1769,1767,,0,1,0.04000,1,10.0,1.0,"","LINESTRING (13.000000 4.000000 ,15.000000 3.000000 )"
-1898976800,,1771,1769,,0,1,0.04000,1,10.0,1.0,"","LINESTRING (12.000000 4.000000 ,13.000000 4.000000 )"
-1898976800,,1772,1769,,0,1,0.05000,1,10.0,1.0,"","LINESTRING (12.000000 5.000000 ,13.000000 4.000000 )"
-1898976800,,1773,1772,,13,1,0.45000,1,10.0,1.0,"","LINESTRING (10.000000 5.000000 ,12.000000 5.000000 )"
-1898976800,,1774,1771,,13,1,0.45000,1,10.0,1.0,"","LINESTRING (10.000000 4.000000 ,12.000000 4.000000 )"
-1898976800,,1775,1770,,0,1,0.45000,1,10.0,1.0,"","LINESTRING (10.000000 3.000000 ,12.000000 3.000000 )"
-1898976800,,1776,1773,,0,1,0.05000,1,10.0,1.0,"","LINESTRING (9.000000 4.000000 ,10.000000 5.000000 )"
-1898976800,,1776,1774,,0,1,0.04000,1,10.0,1.0,"","LINESTRING (9.000000 4.000000 ,10.000000 4.000000 )"
-1898976800,,1778,1776,,0,1,0.04000,1,10.0,1.0,"","LINESTRING (7.000000 3.000000 ,9.000000 4.000000 )"
-1898976800,,1778,1775,,0,1,0.04000,1,10.0,1.0,"","LINESTRING (7.000000 3.000000 ,10.000000 3.000000 )"
-1898976800,,1805,1778,,0,1,0.20000,1,10.0,1.0,"","LINESTRING (0.000000 3.000000 ,7.000000 3.000000 )"
-1898976800,,1805,1753,,12,1,1000.00000,1,10.0,1.0,"","LINESTRING (0.000000 3.000000 ,23.000000 3.000000 )"
-1898976800,,1754,1779,,0,1,0.20000,1,10.0,1.0,"","LINESTRING (23.000000 2.000000 ,15.000000 2.000000 )"
-1898976800,,1779,1782,,0,1,0.04000,1,10.0,1.0,"","LINESTRING (15.000000 2.000000 ,12.000000 2.000000 )"
-1898976800,,1779,1781,,0,1,0.04000,1,10.0,1.0,"","LINESTRING (15.000000 2.000000 ,13.000000 1.000000 )"
-1898976800,,1781,1783,,0,1,0.04000,1,10.0,1.0,"","LINESTRING (13.000000 1.000000 ,12.000000 1.000000 )"
-1898976800,,1781,1784,,0,1,0.05000,1,10.0,1.0,"","LINESTRING (13.000000 1.000000 ,12.000000 0.000000 )"
-1898976800,,1782,1785,,0,1,0.45000,1,10.0,1.0,"","LINESTRING (12.000000 2.000000 ,10.000000 2.000000 )"
-1898976800,,1783,1786,,13,1,0.45000,1,10.0,1.0,"","LINESTRING (12.000000 1.000000 ,10.000000 1.000000 )"
-1898976800,,1784,1787,,13,1,0.45000,1,10.0,1.0,"","LINESTRING (12.000000 0.000000 ,10.000000 0.000000 )"
-1898976800,,1785,1790,,0,1,0.04000,1,10.0,1.0,"","LINESTRING (10.000000 2.000000 ,7.000000 2.000000 )"
-1898976800,,1786,1788,,0,1,0.04000,1,10.0,1.0,"","LINESTRING (10.000000 1.000000 ,9.000000 1.000000 )"
-1898976800,,1788,1790,,0,1,0.04000,1,10.0,1.0,"","LINESTRING (9.000000 1.000000 ,7.000000 2.000000 )"
-1898976800,,1790,1806,,0,1,0.20000,1,10.0,1.0,"","LINESTRING (7.000000 2.000000 ,0.000000 2.000000 )"
-1898976800,,1787,1788,,0,1,0.05000,1,10.0,1.0,"","LINESTRING (10.000000 0.000000 ,9.000000 1.000000 )"
-1898976800,,1754,1806,,12,1,1000.00000,1,10.0,1.0,"","LINESTRING (23.000000 2.000000 ,0.000000 2.000000 )"
