name,node_id,zone_id,ctrl_type,x_coord,y_coord,station_id,station_sequence
W8-A,1947,0,,0,0,0,
,1946,1,,1,1,1,
,1945,2,,2,2,2,
,1944,3,,3,3,3,
W8-A,1943,4,,0,4,4,
,1942,5,,1,5,5,
,1941,6,,2,6,6,
W8-1,1940,7,,5,7,7,
W8-II,1939,8,,5,8,8,
W8-3,1938,9,,5,9,9,
W8-IV,1937,10,,5,10,10,
W8-5,1936,11,,5,11,11,
W8-5,1935,12,,5,12,12,
W8-IV,1934,13,,5,13,13,
W8-3,1933,14,,5,14,14,
,1932,15,,6,15,15,
,1931,16,,7,16,16,
W8-II,1930,17,,5,17,17,
W8-1,1929,18,,5,18,18,
,1928,19,,8,19,19,
,1927,20,,8,20,20,
,1926,21,,9,21,21,
,1925,22,,9,22,22,
W8-B,1924,23,,10,23,23,
W8-B,1923,24,,10,24,24,
,19401,25,,4,25,25,
