name,node_id,zone_id,ctrl_type,x_coord,y_coord,station_id,station_sequence
W2-B,1576,0,,28,4,2,
W2-B,1577,1,,28,3,2,
,1580,2,,26,4,2,
,1581,3,,26,3,2,
,1584,4,,23,4,2,
,1585,5,,23,3,2,
,1592,6,,20,3,2,
,1593,7,,15,4,2,
W2-II,1594,8,,14,4,2,
W2-1,1595,9,,14,5,2,
W2-II,1596,10,,12,4,2,
W2-1,1597,11,,12,5,2,
,1598,12,,11,4,2,
,1601,13,,18,2,2,
,1603,14,,15,1,2,
W2-III,1604,15,,14,3,2,
W2-4,1605,16,,14,2,2,
W2-5,1606,17,,14,1,2,
W2-6,1607,18,,14,0,2,
W2-III,1608,19,,12,3,2,
W2-4,1609,20,,12,2,2,
W2-5,1610,21,,12,1,2,
W2-6,1611,22,,12,0,2,
,1612,23,,7,3,2,
,1614,24,,9,2,2,
,1616,25,,11,1,2,
,1618,26,,5,4,2,
,1619,27,,5,3,2,
,1622,28,,1,4,2,
,1623,29,,1,3,2,
W2-A,1630,30,,0,4,2,
W2-A,1631,31,,0,3,2,
