name,node_id,zone_id,ctrl_type,x_coord,y_coord,station_id,station_sequence
W1-B,1500,0,,28,2,1,
W1-B,1501,1,,28,1,1,
,1504,2,,26,2,1,
,1505,3,,26,1,1,
,1508,4,,22,2,1,
,1509,5,,22,1,1,
,1514,6,,21,2,1,
,1518,7,,19,3,1,
,1521,8,,16,6,1,
,1522,9,,17,4,1,
,1523,10,,18,2,1,
W1-1,1524,11,,15,7,1,
W1-2,1525,12,,15,6,1,
W1-3,1526,13,,15,5,1,
W1-4,1527,14,,15,4,1,
W1-5,1528,15,,15,3,1,
W1-VI,1529,16,,15,2,1,
W1-VI,1530,17,,13,2,1,
W1-5,1531,18,,13,3,1,
W1-4,1532,19,,13,4,1,
W1-3,1533,20,,13,5,1,
W1-2,1534,21,,13,6,1,
W1-1,1535,22,,13,7,1,
,1536,23,,12,6,1,
,1538,24,,12,4,1,
,1540,25,,10,3,1,
,1543,26,,8,2,1,
,1544,27,,18,1,1,
W1-VII,1545,28,,15,1,1,
W1-8,1546,29,,15,0,1,
W1-8,1547,30,,13,0,1,
W1-VII,1548,31,,13,1,1,
,1549,32,,12,1,1,
,1552,33,,6,2,1,
,1553,34,,6,1,1,
,1556,35,,2,2,1,
,1557,36,,2,1,1,
W1-A,1564,37,,0,2,1,
W1-A,1565,38,,0,1,1,
,15312,39,,12,2,1,
