name,link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,same_link_id,oppo_link_id,local_y,display_sequence,second,minTT,maxTT,headway
,0,1504,1500,0,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
,1,1509,1504,0,0.06,1,0.01,1,0,1000,1000,0,,6,6,7,1
,2,1505,1508,1,0.06,1,0.01,1,0,1000,1000,0,,6,6,7,1
,3,1505,1509,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,4,1514,1508,0,0.04,1,0.01,1,0,50,50,0,,4,4,5,1
,5,1508,1504,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,6,1523,1514,0,0.04,1,0.01,1,0,51,51,0,,4,4,5,1
,7,1529,1523,0,0.04,1,0.01,1,0,52,52,0,,4,4,5,1
,8,1528,1523,0,0.05,1,0.01,1,0,53,53,0,,5,5,6,1
,9,1518,1514,0,0.04,1,0.01,1,0,54,54,0,,4,4,5,1
,10,1522,1518,0,0.02,1,0.01,1,0,55,55,0,,2,2,3,1
,11,1527,1522,0,0.04,1,0.01,1,0,56,56,0,,4,4,5,1
,12,1526,1522,0,0.05,1,0.01,1,0,57,57,0,,5,5,6,1
,13,1521,1518,0,0.08,1,0.01,1,0,58,58,0,,8,8,9,1
,14,1525,1521,0,0.04,1,0.01,1,0,59,59,0,,4,4,5,1
,15,1524,1521,0,0.05,1,0.01,1,0,60,60,0,,5,5,6,1
,16,1535,1524,0,0.45,1,0.01,1,13,61,61,0,,45,450,510,1
,17,1534,1525,0,0.45,1,0.01,1,13,62,62,0,,45,450,510,1
,18,1533,1526,0,0.45,1,0.01,1,13,63,63,0,,45,480,540,1
,19,1532,1527,0,0.45,1,0.01,1,13,64,64,0,,45,480,540,1
,20,1531,1528,0,0.45,1,0.01,1,13,65,65,0,,45,480,540,1
,21,1530,1529,0,0.45,1,0.01,1,0,66,66,0,,45,4,5,1
,22,1564,1556,0,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
,23,1556,1552,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,24,1556,1553,0,0.06,1,0.01,1,0,1000,1000,0,,6,6,7,1
,25,1552,1557,1,0.06,1,0.01,1,0,1000,1000,0,,6,6,7,1
,26,1553,1557,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,27,1552,1543,0,0.04,1,0.01,1,0,67,67,0,,4,4,5,1
,28,1543,1540,0,0.06,1,0.01,1,0,68,68,0,,6,6,7,1
,29,1543,15312,0,0.04,1,0.01,1,0,69,69,0,,4,4,5,1
,30,15312,1530,0,0.04,1,0.01,1,0,70,70,0,,4,4,5,1
,31,15312,1531,0,0.05,1,0.01,1,0,71,71,0,,5,5,6,1
,32,1540,1538,0,0.04,1,0.01,1,0,72,72,0,,4,4,5,1
,33,1538,1532,0,0.04,1,0.01,1,0,73,73,0,,4,4,5,1
,34,1538,1533,0,0.05,1,0.01,1,0,74,74,0,,5,5,6,1
,35,1540,1536,0,0.09,1,0.01,1,0,75,75,0,,9,9,10,1
,36,1536,1534,0,0.04,1,0.01,1,0,76,76,0,,4,4,5,1
,37,1536,1535,0,0.05,1,0.01,1,0,77,77,0,,5,5,6,1
,38,1564,1500,0,1000,1,0.01,1,12,1000,1000,0,,1000,1000,1000,1
,39,1501,1505,1,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
,40,1509,1544,1,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
,41,1544,1545,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,42,1544,1546,1,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,43,1545,1548,1,0.45,1,0.01,1,0,1000,1000,0,,45,4,5,1
,44,1546,1547,1,0.45,1,0.01,1,13,1000,1000,0,,45,450,510,1
,45,1548,1549,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,46,1547,1549,1,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,47,1549,1553,1,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
,48,1557,1565,1,0.08,1,0.01,1,0,1000,1000,0,,8,8,9,1
