name,link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,same_link_id,oppo_link_id,local_y,display_sequence,second,minTT,maxTT,headway
,0,1925,1923,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,1,1927,1925,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,2,1929,1927,0,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,3,1930,1927,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,4,1940,1929,0,0.45,1,0.01,1,13,1000,1000,0,,180,120,240,1
,5,1939,1930,0,0.45,1,0.01,1,13,1000,1000,0,,180,120,240,1
,6,1941,1940,0,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,7,1941,1939,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,8,1942,1941,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,9,1943,1942,0,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,10,1943,1923,0,1000,1,0.01,1,12,1000,1000,0,,1000,10000,10000,1
,11,1924,1926,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,12,1926,1928,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,13,1928,1931,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
,14,1931,1932,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
,15,1932,1933,1,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,16,1932,1934,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,17,1928,1935,1,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,18,1933,1938,1,0.45,1,0.01,1,13,1000,1000,0,,180,120,240,1
,19,1934,1937,1,0.45,1,0.01,1,13,1000,1000,0,,180,120,240,1
,20,1935,1936,1,0.45,1,0.01,1,13,1000,1000,0,,180,120,240,1
,21,1938,19401,1,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,22,1937,19401,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,23,19401,1944,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
,24,1944,1945,1,0.02,1,0.01,1,0,1000,1000,0,,2,2,3,1
,25,1936,1945,1,0.05,1,0.01,1,0,1000,1000,0,,5,5,6,1
,26,1945,1946,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,27,1946,1947,1,0.04,1,0.01,1,0,1000,1000,0,,4,4,5,1
,28,1924,1947,1,1000,1,0.01,1,12,1000,1000,0,,1000,10000,10000,1
